Date,Open,High,Low,Close,Adj Close,Volume
2023-08-01,456.269989,457.250000,455.489990,456.480011,450.182892,55502199
2023-08-02,453.250000,453.519989,449.349915,450.130005,443.920502,93933369
2023-08-03,448.040009,450.790009,447.369995,448.839996,442.648285,64419692
2023-08-04,450.720001,452.894989,446.269989,446.809998,440.646271,100128902
2023-08-07,448.709991,450.864990,447.989990,450.709991,444.492493,58357464
2023-08-08,448.079987,450.695190,445.270508,448.750000,442.559509,71361324
2023-08-09,449.029999,449.199890,444.959991,445.750000,439.600891,78789575
2023-08-10,448.190002,451.700012,444.700012,445.910004,439.758698,93005495
2023-08-11,443.970001,446.700714,443.345001,445.649994,439.502289,68690902
2023-08-14,444.700012,448.109985,444.380005,448.109985,441.928345,47867441
2023-08-15,446.269989,446.640015,442.299988,442.890015,436.780334,75707534
2023-08-16,442.459991,444.179993,439.529999,439.640015,433.575226,80107206
2023-08-17,441.160004,441.429993,435.750000,436.290009,430.271423,95711315
2023-08-18,433.369995,437.570007,433.010010,436.500000,430.478516,98851960
2023-08-21,437.549988,440.109985,435.320007,439.339996,433.279358,68718957
2023-08-22,441.179993,441.179993,437.570007,438.149994,432.105774,65062861
2023-08-23,439.250000,443.670013,439.100006,443.029999,436.918427,68441021
2023-08-24,444.690002,445.220001,436.855011,436.890015,430.863159,88517272
2023-08-25,438.679993,441.299988,435.000000,439.970001,433.900665,102325103
2023-08-28,442.239990,443.399994,439.972809,442.760010,436.652191,61595393
2023-08-29,442.649994,449.450012,442.459991,449.160004,442.963867,83081916
2023-08-30,449.510010,451.670013,448.779999,451.010010,444.788330,69053911
2023-08-31,451.649994,452.829987,450.160004,450.350006,444.137451,66084563
2023-09-01,453.170013,453.670013,449.679993,451.190002,444.965881,58944098
2023-09-05,450.730011,451.059998,449.170013,449.239990,443.042755,55166210
2023-09-06,448.399994,448.510010,443.809998,446.220001,440.064453,70758512
2023-09-07,443.109985,445.549988,442.750000,444.850006,438.713348,70355426
2023-09-08,444.899994,447.109985,444.529999,445.519989,439.374023,62068437
2023-09-11,448.239990,448.769989,446.469910,448.450012,442.263672,60180118
2023-09-12,446.950012,448.529999,445.390015,445.989990,439.837616,67565422
2023-09-13,446.220001,447.709991,445.079315,446.510010,440.350433,60199272
2023-09-14,449.070007,451.079987,447.714996,450.359985,444.147308,83430814
2023-09-15,447.140015,447.480011,442.920013,443.369995,438.796265,111848859
2023-09-18,443.049988,444.970001,442.559998,443.630005,439.053589,55752213
2023-09-19,442.679993,443.290009,439.940002,442.709991,438.143066,66514648
2023-09-20,444.010010,444.434998,438.429993,438.640015,434.115082,82562602
2023-09-21,435.700012,435.970001,431.230011,431.390015,426.939850,104095826
2023-09-22,432.450012,434.100006,429.989990,430.420013,425.979858,100829684
2023-09-25,429.170013,432.269989,428.720001,432.230011,427.771210,70874534
2023-09-26,429.089996,429.820007,425.019989,425.880005,421.486694,96168436
2023-09-27,427.089996,427.670013,422.290009,426.049988,421.654938,104705847
2023-09-28,425.480011,430.249908,424.869995,428.519989,424.099457,92258308
2023-09-29,431.670013,431.850006,425.910004,427.480011,423.070190,115111319
2023-10-02,426.619995,428.600006,424.459991,427.309998,422.901917,83798599
2023-10-03,425.059998,427.372894,420.179993,421.589996,417.240967,103760607
2023-10-04,422.070007,425.429901,420.559998,424.660004,420.279266,87452968
2023-10-05,424.359985,425.369995,421.170105,424.500000,420.120911,70142744
2023-10-06,421.970001,431.125000,420.600006,429.540009,425.108948,113273309
2023-10-09,427.579987,432.880005,427.010101,432.290009,427.830566,80374362
2023-10-10,432.940002,437.220001,432.529999,434.540009,430.057373,78607268
2023-10-11,435.640015,436.579987,433.179993,436.320007,431.819000,62451736
2023-10-12,436.950012,437.334991,431.230011,433.660004,429.186432,81154230
2023-10-13,435.209991,436.450012,429.880005,431.500000,427.048737,95201132
2023-10-16,433.820007,437.140015,433.570007,436.040009,431.541901,75433194
2023-10-17,432.809998,438.140015,432.450012,436.019989,431.522095,75324708
2023-10-18,434.190002,435.179993,429.089996,430.209991,425.772034,93559798
2023-10-19,430.950012,432.820007,425.725006,426.429993,422.031006,121322957
2023-10-20,425.980011,426.540009,421.079987,421.190002,416.845093,123919874
2023-10-23,419.609985,424.450012,417.799988,420.459991,416.122589,92035095
2023-10-24,422.649994,424.820007,420.739990,423.630005,419.259918,78564239
2023-10-25,421.890015,421.920013,417.015015,417.549988,413.242645,94223198
2023-10-26,416.450012,417.325012,411.600006,412.549988,408.294189,115156761
2023-10-27,414.190002,414.600006,409.209991,410.679993,406.443512,107367671
2023-10-30,413.559998,416.679993,412.220001,415.589996,411.302826,86562675
2023-10-31,416.179993,418.529999,414.209991,418.200012,413.885925,79665150
2023-11-01,419.200012,423.500000,418.649902,422.660004,418.299927,98068115
2023-11-02,426.579987,430.915009,426.559998,430.760010,426.316376,94938909
2023-11-03,433.140015,436.290009,433.010010,434.690002,430.205841,100167775
2023-11-06,435.470001,436.149811,433.679993,435.690002,431.195496,67831660
2023-11-07,435.690002,437.584991,434.510010,436.929993,432.422729,64256114
2023-11-08,437.549988,438.089996,434.869995,437.250000,432.739410,61746027
2023-11-09,438.429993,438.470001,433.399994,433.839996,429.364563,83174417
2023-11-10,435.980011,440.929993,433.833496,440.609985,436.064728,89558054
2023-11-13,439.230011,441.329987,438.420013,440.190002,435.649109,52236068
2023-11-14,446.320007,450.059998,446.089996,448.730011,444.100983,97176935
2023-11-15,450.109985,451.380005,448.799988,449.679993,445.041168,77327573
2023-11-16,449.220001,450.559998,448.119995,450.230011,445.585510,66665797
2023-11-17,450.239990,451.420013,449.290009,450.790009,446.139709,83193902
2023-11-20,450.529999,455.125000,450.519989,454.260010,449.573944,70055633
2023-11-21,453.184204,454.131012,451.959900,453.269989,448.594147,49244639
2023-11-22,454.980011,456.380005,453.889496,455.019989,450.326050,59446573
2023-11-24,455.070007,455.500000,454.730011,455.299988,450.603210,29737375
2023-11-27,454.649994,455.490112,454.079895,454.480011,449.791687,50505985
2023-11-28,454.079987,456.269989,453.500000,454.929993,450.237000,62115011
2023-11-29,457.149994,458.320007,454.200012,454.609985,449.920319,63145992
2023-11-30,455.480011,456.760010,453.339996,456.399994,451.691833,79752700
2023-12-01,455.769989,459.649994,455.160004,459.100006,454.363983,89183400
2023-12-04,455.600006,459.120605,454.339996,456.690002,451.978851,72430888
2023-12-05,455.260010,457.589996,454.869995,456.600006,451.889801,69793469
2023-12-06,458.809998,458.839996,454.309998,454.760010,450.068787,69124685
2023-12-07,456.910004,458.899994,456.290009,458.230011,453.502991,66995446
2023-12-08,457.459991,460.744995,457.209991,460.200012,455.452637,83194404
2023-12-11,459.690002,462.170013,459.470001,461.989990,457.224182,65002247
2023-12-12,461.630005,464.200012,460.600006,464.100006,459.312408,68327617
2023-12-13,464.489990,470.759888,464.119995,470.500000,465.646423,93277960
2023-12-14,472.500000,473.730011,469.250000,472.010010,467.140808,119026049
2023-12-15,469.489990,470.700012,467.426300,469.329987,466.371765,141553673
2023-12-18,470.980011,472.980011,469.892914,471.970001,468.995148,70375285
2023-12-19,472.529999,474.920013,472.450012,474.839996,471.847046,55761805
2023-12-20,473.959991,475.894989,467.820007,468.260010,465.308533,102920959
2023-12-21,471.329987,472.975006,468.839996,472.700012,469.720551,86667465
2023-12-22,473.859985,475.380005,471.700012,473.649994,470.664551,67160419
2023-12-26,474.070007,476.579987,473.989990,475.649994,472.651917,55386952
2023-12-27,475.440002,476.660004,474.890015,476.510010,473.506531,68000311
2023-12-28,476.880005,477.549988,476.260010,476.690002,473.685394,77158116
2023-12-29,476.489990,477.029999,473.299988,475.309998,472.314087,122283149
2024-01-02,472.160004,473.670013,470.489990,472.649994,469.670868,123007793
2024-01-03,470.429993,471.190002,468.170013,468.790009,465.835175,103585866
2024-01-04,468.299988,470.959991,467.049988,467.279999,464.334686,84232169
2024-01-05,467.489990,470.440002,466.429993,467.920013,464.970673,86118913
2024-01-08,468.429993,474.750000,468.299988,474.600006,471.608582,74879074
2024-01-09,471.869995,474.929993,471.350006,473.880005,470.893097,65931439
2024-01-10,474.160004,477.448090,473.869995,476.559998,473.556183,67310640
2024-01-11,477.589996,478.119995,472.260010,476.350006,473.347565,77940723
2024-01-12,477.839996,478.600006,475.230011,476.679993,473.675446,58026420
2024-01-16,475.260010,476.609802,473.059998,474.929993,471.936462,85014870
2024-01-17,471.820007,472.790009,469.869995,472.290009,469.313110,68843871
2024-01-18,474.010010,477.059998,472.420013,476.489990,473.486633,91856248
2024-01-19,477.649994,482.720001,476.537415,482.429993,479.389221,110834483
2024-01-22,484.010010,485.220001,482.779999,483.450012,480.402771,75844931
2024-01-23,484.010010,485.105011,482.890015,484.859985,481.803894,49945297
2024-01-24,487.809998,488.769989,484.881897,485.390015,482.330566,81765039
2024-01-25,487.575012,488.304993,485.390015,488.029999,484.953918,72524989
2024-01-26,487.589996,489.119995,486.540009,487.410004,484.337830,76641609
2024-01-29,487.730011,491.415009,487.170013,491.269989,488.173462,61322751
